areaCode,areaName,areaType,date,newAdmissions
K02000001,United Kingdom,overview,29/11/2021,787
K02000001,United Kingdom,overview,31/10/2021,1009
K02000001,United Kingdom,overview,30/09/2021,704
K02000001,United Kingdom,overview,31/08/2021,1001
K02000001,United Kingdom,overview,31/07/2021,675
K02000001,United Kingdom,overview,30/06/2021,416
K02000001,United Kingdom,overview,31/05/2021,127
K02000001,United Kingdom,overview,30/04/2021,110
K02000001,United Kingdom,overview,31/03/2021,269
K02000001,United Kingdom,overview,28/02/2021,770
K02000001,United Kingdom,overview,31/01/2021,2409
K02000001,United Kingdom,overview,31/12/2020,2921
K02000001,United Kingdom,overview,30/11/2020,1406
K02000001,United Kingdom,overview,31/10/2020,1462
K02000001,United Kingdom,overview,30/09/2020,452
K02000001,United Kingdom,overview,31/08/2020,90
K02000001,United Kingdom,overview,31/07/2020,115
K02000001,United Kingdom,overview,30/06/2020,296
K02000001,United Kingdom,overview,31/05/2020,529
K02000001,United Kingdom,overview,30/04/2020,1442
K02000001,United Kingdom,overview,31/03/2020,2832