areaCode,areaName,areaType,date,covidOccupiedMVBeds
K02000001,United Kingdom,overview,21/10/2021,2000
K02000001,United Kingdom,overview,20/10/2021,872
K02000001,United Kingdom,overview,19/10/2021,851
K02000001,United Kingdom,overview,18/10/2021,826
K02000001,United Kingdom,overview,17/10/2021,819
K02000001,United Kingdom,overview,16/10/2021,805
K02000001,United Kingdom,overview,15/10/2021,791
K02000001,United Kingdom,overview,14/10/2021,783
K02000001,United Kingdom,overview,13/10/2021,781
K02000001,United Kingdom,overview,12/10/2021,780
K02000001,United Kingdom,overview,11/10/2021,747
K02000001,United Kingdom,overview,10/10/2021,744
K02000001,United Kingdom,overview,09/10/2021,768
K02000001,United Kingdom,overview,08/10/2021,780
K02000001,United Kingdom,overview,07/10/2021,808
K02000001,United Kingdom,overview,06/10/2021,807
K02000001,United Kingdom,overview,05/10/2021,800
K02000001,United Kingdom,overview,04/10/2021,769
K02000001,United Kingdom,overview,03/10/2021,778
K02000001,United Kingdom,overview,02/10/2021,764
K02000001,United Kingdom,overview,01/10/2021,805
K02000001,United Kingdom,overview,30/09/2021,815
K02000001,United Kingdom,overview,29/09/2021,813
K02000001,United Kingdom,overview,28/09/2021,826
K02000001,United Kingdom,overview,27/09/2021,831
K02000001,United Kingdom,overview,26/09/2021,839
K02000001,United Kingdom,overview,25/09/2021,874
K02000001,United Kingdom,overview,24/09/2021,878
K02000001,United Kingdom,overview,23/09/2021,916
K02000001,United Kingdom,overview,22/09/2021,939
K02000001,United Kingdom,overview,21/09/2021,943
K02000001,United Kingdom,overview,20/09/2021,982
K02000001,United Kingdom,overview,19/09/2021,1006
K02000001,United Kingdom,overview,18/09/2021,1004
K02000001,United Kingdom,overview,17/09/2021,1011
K02000001,United Kingdom,overview,16/09/2021,1020
K02000001,United Kingdom,overview,15/09/2021,1081
K02000001,United Kingdom,overview,14/09/2021,1060
K02000001,United Kingdom,overview,13/09/2021,1056
K02000001,United Kingdom,overview,12/09/2021,1055
K02000001,United Kingdom,overview,11/09/2021,1027
K02000001,United Kingdom,overview,10/09/2021,1056
K02000001,United Kingdom,overview,09/09/2021,1051
K02000001,United Kingdom,overview,08/09/2021,1060
K02000001,United Kingdom,overview,07/09/2021,1047
K02000001,United Kingdom,overview,06/09/2021,1062
K02000001,United Kingdom,overview,05/09/2021,1018
K02000001,United Kingdom,overview,04/09/2021,1019
K02000001,United Kingdom,overview,03/09/2021,1034
K02000001,United Kingdom,overview,02/09/2021,1038
K02000001,United Kingdom,overview,01/09/2021,1030
K02000001,United Kingdom,overview,31/08/2021,1014
K02000001,United Kingdom,overview,30/08/2021,984
K02000001,United Kingdom,overview,29/08/2021,971
K02000001,United Kingdom,overview,28/08/2021,953
K02000001,United Kingdom,overview,27/08/2021,988
K02000001,United Kingdom,overview,26/08/2021,982
K02000001,United Kingdom,overview,25/08/2021,974
K02000001,United Kingdom,overview,24/08/2021,957
K02000001,United Kingdom,overview,23/08/2021,942
K02000001,United Kingdom,overview,22/08/2021,963
K02000001,United Kingdom,overview,21/08/2021,955
K02000001,United Kingdom,overview,20/08/2021,955
K02000001,United Kingdom,overview,19/08/2021,928
K02000001,United Kingdom,overview,18/08/2021,909
K02000001,United Kingdom,overview,17/08/2021,925
K02000001,United Kingdom,overview,16/08/2021,918
K02000001,United Kingdom,overview,15/08/2021,898
K02000001,United Kingdom,overview,14/08/2021,892
K02000001,United Kingdom,overview,13/08/2021,892
K02000001,United Kingdom,overview,12/08/2021,882
K02000001,United Kingdom,overview,11/08/2021,871
K02000001,United Kingdom,overview,10/08/2021,874
K02000001,United Kingdom,overview,09/08/2021,859
K02000001,United Kingdom,overview,08/08/2021,856
K02000001,United Kingdom,overview,07/08/2021,854
K02000001,United Kingdom,overview,06/08/2021,870
K02000001,United Kingdom,overview,05/08/2021,871
K02000001,United Kingdom,overview,04/08/2021,881
K02000001,United Kingdom,overview,03/08/2021,887
K02000001,United Kingdom,overview,02/08/2021,895
K02000001,United Kingdom,overview,01/08/2021,877
K02000001,United Kingdom,overview,31/07/2021,893
K02000001,United Kingdom,overview,30/07/2021,889
K02000001,United Kingdom,overview,29/07/2021,869
K02000001,United Kingdom,overview,28/07/2021,853
K02000001,United Kingdom,overview,27/07/2021,848
K02000001,United Kingdom,overview,26/07/2021,820
K02000001,United Kingdom,overview,25/07/2021,779
K02000001,United Kingdom,overview,24/07/2021,755
K02000001,United Kingdom,overview,23/07/2021,715
K02000001,United Kingdom,overview,22/07/2021,699
K02000001,United Kingdom,overview,21/07/2021,647
K02000001,United Kingdom,overview,20/07/2021,618
K02000001,United Kingdom,overview,19/07/2021,611
K02000001,United Kingdom,overview,18/07/2021,582
K02000001,United Kingdom,overview,17/07/2021,583
K02000001,United Kingdom,overview,16/07/2021,573
K02000001,United Kingdom,overview,15/07/2021,551
K02000001,United Kingdom,overview,14/07/2021,545
K02000001,United Kingdom,overview,13/07/2021,522
K02000001,United Kingdom,overview,12/07/2021,482
K02000001,United Kingdom,overview,11/07/2021,454
K02000001,United Kingdom,overview,10/07/2021,448
K02000001,United Kingdom,overview,09/07/2021,437
K02000001,United Kingdom,overview,08/07/2021,417
K02000001,United Kingdom,overview,07/07/2021,417
K02000001,United Kingdom,overview,06/07/2021,392
K02000001,United Kingdom,overview,05/07/2021,369
K02000001,United Kingdom,overview,04/07/2021,336
K02000001,United Kingdom,overview,03/07/2021,327
K02000001,United Kingdom,overview,02/07/2021,321
K02000001,United Kingdom,overview,01/07/2021,300
K02000001,United Kingdom,overview,30/06/2021,287
K02000001,United Kingdom,overview,29/06/2021,283
K02000001,United Kingdom,overview,28/06/2021,297
K02000001,United Kingdom,overview,27/06/2021,263
K02000001,United Kingdom,overview,26/06/2021,256
K02000001,United Kingdom,overview,25/06/2021,257
K02000001,United Kingdom,overview,24/06/2021,259
K02000001,United Kingdom,overview,23/06/2021,246
K02000001,United Kingdom,overview,22/06/2021,250
K02000001,United Kingdom,overview,21/06/2021,228
K02000001,United Kingdom,overview,20/06/2021,210
K02000001,United Kingdom,overview,19/06/2021,215
K02000001,United Kingdom,overview,18/06/2021,223
K02000001,United Kingdom,overview,17/06/2021,210
K02000001,United Kingdom,overview,16/06/2021,208
K02000001,United Kingdom,overview,15/06/2021,206
K02000001,United Kingdom,overview,14/06/2021,188
K02000001,United Kingdom,overview,13/06/2021,188
K02000001,United Kingdom,overview,12/06/2021,169
K02000001,United Kingdom,overview,11/06/2021,161
K02000001,United Kingdom,overview,10/06/2021,158
K02000001,United Kingdom,overview,09/06/2021,159
K02000001,United Kingdom,overview,08/06/2021,154
K02000001,United Kingdom,overview,07/06/2021,148
K02000001,United Kingdom,overview,06/06/2021,145
K02000001,United Kingdom,overview,05/06/2021,135
K02000001,United Kingdom,overview,04/06/2021,130
K02000001,United Kingdom,overview,03/06/2021,134
K02000001,United Kingdom,overview,02/06/2021,129
K02000001,United Kingdom,overview,01/06/2021,136
K02000001,United Kingdom,overview,31/05/2021,122
K02000001,United Kingdom,overview,30/05/2021,124
K02000001,United Kingdom,overview,29/05/2021,119
K02000001,United Kingdom,overview,28/05/2021,124
K02000001,United Kingdom,overview,27/05/2021,120
K02000001,United Kingdom,overview,26/05/2021,125
K02000001,United Kingdom,overview,25/05/2021,128
K02000001,United Kingdom,overview,24/05/2021,121
K02000001,United Kingdom,overview,23/05/2021,120
K02000001,United Kingdom,overview,22/05/2021,123
K02000001,United Kingdom,overview,21/05/2021,124
K02000001,United Kingdom,overview,20/05/2021,123
K02000001,United Kingdom,overview,19/05/2021,122
K02000001,United Kingdom,overview,18/05/2021,124
K02000001,United Kingdom,overview,17/05/2021,125
K02000001,United Kingdom,overview,16/05/2021,123
K02000001,United Kingdom,overview,15/05/2021,121
K02000001,United Kingdom,overview,14/05/2021,124
K02000001,United Kingdom,overview,13/05/2021,129
K02000001,United Kingdom,overview,12/05/2021,136
K02000001,United Kingdom,overview,11/05/2021,138
K02000001,United Kingdom,overview,10/05/2021,149
K02000001,United Kingdom,overview,09/05/2021,144
K02000001,United Kingdom,overview,08/05/2021,151
K02000001,United Kingdom,overview,07/05/2021,159
K02000001,United Kingdom,overview,06/05/2021,163
K02000001,United Kingdom,overview,05/05/2021,182
K02000001,United Kingdom,overview,04/05/2021,181
K02000001,United Kingdom,overview,03/05/2021,187
K02000001,United Kingdom,overview,02/05/2021,196
K02000001,United Kingdom,overview,01/05/2021,188
K02000001,United Kingdom,overview,30/04/2021,185
K02000001,United Kingdom,overview,29/04/2021,196
K02000001,United Kingdom,overview,28/04/2021,208
K02000001,United Kingdom,overview,27/04/2021,214
K02000001,United Kingdom,overview,26/04/2021,227
K02000001,United Kingdom,overview,25/04/2021,231
K02000001,United Kingdom,overview,24/04/2021,240
K02000001,United Kingdom,overview,23/04/2021,243
K02000001,United Kingdom,overview,22/04/2021,261
K02000001,United Kingdom,overview,21/04/2021,276
K02000001,United Kingdom,overview,20/04/2021,300
K02000001,United Kingdom,overview,19/04/2021,318
K02000001,United Kingdom,overview,18/04/2021,311
K02000001,United Kingdom,overview,17/04/2021,323
K02000001,United Kingdom,overview,16/04/2021,332
K02000001,United Kingdom,overview,15/04/2021,329
K02000001,United Kingdom,overview,14/04/2021,351
K02000001,United Kingdom,overview,13/04/2021,370
K02000001,United Kingdom,overview,12/04/2021,377
K02000001,United Kingdom,overview,11/04/2021,385
K02000001,United Kingdom,overview,10/04/2021,385
K02000001,United Kingdom,overview,09/04/2021,405
K02000001,United Kingdom,overview,08/04/2021,421
K02000001,United Kingdom,overview,07/04/2021,440
K02000001,United Kingdom,overview,06/04/2021,453
K02000001,United Kingdom,overview,05/04/2021,461
K02000001,United Kingdom,overview,04/04/2021,469
K02000001,United Kingdom,overview,03/04/2021,478
K02000001,United Kingdom,overview,02/04/2021,485
K02000001,United Kingdom,overview,01/04/2021,517
K02000001,United Kingdom,overview,31/03/2021,547
K02000001,United Kingdom,overview,30/03/2021,568
K02000001,United Kingdom,overview,29/03/2021,583
K02000001,United Kingdom,overview,28/03/2021,582
K02000001,United Kingdom,overview,27/03/2021,594
K02000001,United Kingdom,overview,26/03/2021,615
K02000001,United Kingdom,overview,25/03/2021,630
K02000001,United Kingdom,overview,24/03/2021,682
K02000001,United Kingdom,overview,23/03/2021,711
K02000001,United Kingdom,overview,22/03/2021,748
K02000001,United Kingdom,overview,21/03/2021,768
K02000001,United Kingdom,overview,20/03/2021,787
K02000001,United Kingdom,overview,19/03/2021,830
K02000001,United Kingdom,overview,18/03/2021,879
K02000001,United Kingdom,overview,17/03/2021,925
K02000001,United Kingdom,overview,16/03/2021,968
K02000001,United Kingdom,overview,15/03/2021,1016
K02000001,United Kingdom,overview,14/03/2021,1049
K02000001,United Kingdom,overview,13/03/2021,1087
K02000001,United Kingdom,overview,12/03/2021,1110
K02000001,United Kingdom,overview,11/03/2021,1192
K02000001,United Kingdom,overview,10/03/2021,1236
K02000001,United Kingdom,overview,09/03/2021,1292
K02000001,United Kingdom,overview,08/03/2021,1356
K02000001,United Kingdom,overview,07/03/2021,1394
K02000001,United Kingdom,overview,06/03/2021,1449
K02000001,United Kingdom,overview,05/03/2021,1542
K02000001,United Kingdom,overview,04/03/2021,1589
K02000001,United Kingdom,overview,03/03/2021,1647
K02000001,United Kingdom,overview,02/03/2021,1709
K02000001,United Kingdom,overview,01/03/2021,1806
K02000001,United Kingdom,overview,28/02/2021,1783
K02000001,United Kingdom,overview,27/02/2021,1903
K02000001,United Kingdom,overview,26/02/2021,1971
K02000001,United Kingdom,overview,25/02/2021,2047
K02000001,United Kingdom,overview,24/02/2021,2118
K02000001,United Kingdom,overview,23/02/2021,2149
K02000001,United Kingdom,overview,22/02/2021,2273
K02000001,United Kingdom,overview,21/02/2021,2329
K02000001,United Kingdom,overview,20/02/2021,2358
K02000001,United Kingdom,overview,19/02/2021,2469
K02000001,United Kingdom,overview,18/02/2021,2535
K02000001,United Kingdom,overview,17/02/2021,2614
K02000001,United Kingdom,overview,16/02/2021,2708
K02000001,United Kingdom,overview,15/02/2021,2805
K02000001,United Kingdom,overview,14/02/2021,2851
K02000001,United Kingdom,overview,13/02/2021,2842
K02000001,United Kingdom,overview,12/02/2021,2943
K02000001,United Kingdom,overview,11/02/2021,3036
K02000001,United Kingdom,overview,10/02/2021,3132
K02000001,United Kingdom,overview,09/02/2021,3164
K02000001,United Kingdom,overview,08/02/2021,3230
K02000001,United Kingdom,overview,07/02/2021,3302
K02000001,United Kingdom,overview,06/02/2021,3373
K02000001,United Kingdom,overview,05/02/2021,3505
K02000001,United Kingdom,overview,04/02/2021,3572
K02000001,United Kingdom,overview,03/02/2021,3628
K02000001,United Kingdom,overview,02/02/2021,3635
K02000001,United Kingdom,overview,01/02/2021,3726
K02000001,United Kingdom,overview,31/01/2021,3687
K02000001,United Kingdom,overview,30/01/2021,3806
K02000001,United Kingdom,overview,29/01/2021,3832
K02000001,United Kingdom,overview,28/01/2021,3918
K02000001,United Kingdom,overview,27/01/2021,3937
K02000001,United Kingdom,overview,26/01/2021,3961
K02000001,United Kingdom,overview,25/01/2021,4032
K02000001,United Kingdom,overview,24/01/2021,4077
K02000001,United Kingdom,overview,23/01/2021,4066
K02000001,United Kingdom,overview,22/01/2021,4076
K02000001,United Kingdom,overview,21/01/2021,3960
K02000001,United Kingdom,overview,20/01/2021,3953
K02000001,United Kingdom,overview,19/01/2021,3947
K02000001,United Kingdom,overview,18/01/2021,3916
K02000001,United Kingdom,overview,17/01/2021,3871
K02000001,United Kingdom,overview,16/01/2021,3854
K02000001,United Kingdom,overview,15/01/2021,3789
K02000001,United Kingdom,overview,14/01/2021,3672
K02000001,United Kingdom,overview,13/01/2021,3626
K02000001,United Kingdom,overview,12/01/2021,3496
K02000001,United Kingdom,overview,11/01/2021,3363
K02000001,United Kingdom,overview,10/01/2021,3264
K02000001,United Kingdom,overview,09/01/2021,3145
K02000001,United Kingdom,overview,08/01/2021,3098
K02000001,United Kingdom,overview,07/01/2021,2929
K02000001,United Kingdom,overview,06/01/2021,2821
K02000001,United Kingdom,overview,05/01/2021,2645
K02000001,United Kingdom,overview,04/01/2021,2560
K02000001,United Kingdom,overview,03/01/2021,2420
K02000001,United Kingdom,overview,02/01/2021,2256
K02000001,United Kingdom,overview,01/01/2021,2162
K02000001,United Kingdom,overview,31/12/2020,2122
K02000001,United Kingdom,overview,30/12/2020,2066
K02000001,United Kingdom,overview,29/12/2020,1939
K02000001,United Kingdom,overview,28/12/2020,1847
K02000001,United Kingdom,overview,27/12/2020,1751
K02000001,United Kingdom,overview,26/12/2020,1682
K02000001,United Kingdom,overview,25/12/2020,1616
K02000001,United Kingdom,overview,24/12/2020,1607
K02000001,United Kingdom,overview,23/12/2020,1554
K02000001,United Kingdom,overview,22/12/2020,1529
K02000001,United Kingdom,overview,21/12/2020,1512
K02000001,United Kingdom,overview,20/12/2020,1442
K02000001,United Kingdom,overview,19/12/2020,1412
K02000001,United Kingdom,overview,18/12/2020,1364
K02000001,United Kingdom,overview,17/12/2020,1366
K02000001,United Kingdom,overview,16/12/2020,1340
K02000001,United Kingdom,overview,15/12/2020,1326
K02000001,United Kingdom,overview,14/12/2020,1288
K02000001,United Kingdom,overview,13/12/2020,1281
K02000001,United Kingdom,overview,12/12/2020,1243
K02000001,United Kingdom,overview,11/12/2020,1275
K02000001,United Kingdom,overview,10/12/2020,1267
K02000001,United Kingdom,overview,09/12/2020,1243
K02000001,United Kingdom,overview,08/12/2020,1272
K02000001,United Kingdom,overview,07/12/2020,1271
K02000001,United Kingdom,overview,06/12/2020,1249
K02000001,United Kingdom,overview,05/12/2020,1247
K02000001,United Kingdom,overview,04/12/2020,1274
K02000001,United Kingdom,overview,03/12/2020,1261
K02000001,United Kingdom,overview,02/12/2020,1315
K02000001,United Kingdom,overview,01/12/2020,1351
K02000001,United Kingdom,overview,30/11/2020,1357
K02000001,United Kingdom,overview,29/11/2020,1387
K02000001,United Kingdom,overview,28/11/2020,1378
K02000001,United Kingdom,overview,27/11/2020,1417
K02000001,United Kingdom,overview,26/11/2020,1456
K02000001,United Kingdom,overview,25/11/2020,1480
K02000001,United Kingdom,overview,24/11/2020,1489
K02000001,United Kingdom,overview,23/11/2020,1487
K02000001,United Kingdom,overview,22/11/2020,1454
K02000001,United Kingdom,overview,21/11/2020,1447
K02000001,United Kingdom,overview,20/11/2020,1422
K02000001,United Kingdom,overview,19/11/2020,1426
K02000001,United Kingdom,overview,18/11/2020,1430
K02000001,United Kingdom,overview,17/11/2020,1420
K02000001,United Kingdom,overview,16/11/2020,1391
K02000001,United Kingdom,overview,15/11/2020,1397
K02000001,United Kingdom,overview,14/11/2020,1365
K02000001,United Kingdom,overview,13/11/2020,1355
K02000001,United Kingdom,overview,12/11/2020,1275
K02000001,United Kingdom,overview,11/11/2020,1268
K02000001,United Kingdom,overview,10/11/2020,1219
K02000001,United Kingdom,overview,09/11/2020,1271
K02000001,United Kingdom,overview,08/11/2020,1232
K02000001,United Kingdom,overview,07/11/2020,1207
K02000001,United Kingdom,overview,06/11/2020,1187
K02000001,United Kingdom,overview,05/11/2020,1183
K02000001,United Kingdom,overview,04/11/2020,1193
K02000001,United Kingdom,overview,03/11/2020,1144
K02000001,United Kingdom,overview,02/11/2020,1075
K02000001,United Kingdom,overview,01/11/2020,979
K02000001,United Kingdom,overview,31/10/2020,1003
K02000001,United Kingdom,overview,30/10/2020,979
K02000001,United Kingdom,overview,29/10/2020,974
K02000001,United Kingdom,overview,28/10/2020,957
K02000001,United Kingdom,overview,27/10/2020,903
K02000001,United Kingdom,overview,26/10/2020,853
K02000001,United Kingdom,overview,25/10/2020,828
K02000001,United Kingdom,overview,24/10/2020,788
K02000001,United Kingdom,overview,23/10/2020,744
K02000001,United Kingdom,overview,22/10/2020,708
K02000001,United Kingdom,overview,21/10/2020,712
K02000001,United Kingdom,overview,20/10/2020,698
K02000001,United Kingdom,overview,19/10/2020,658
K02000001,United Kingdom,overview,18/10/2020,630
K02000001,United Kingdom,overview,17/10/2020,614
K02000001,United Kingdom,overview,16/10/2020,592
K02000001,United Kingdom,overview,15/10/2020,581
K02000001,United Kingdom,overview,14/10/2020,563
K02000001,United Kingdom,overview,13/10/2020,516
K02000001,United Kingdom,overview,12/10/2020,507
K02000001,United Kingdom,overview,11/10/2020,477
K02000001,United Kingdom,overview,10/10/2020,469
K02000001,United Kingdom,overview,09/10/2020,440
K02000001,United Kingdom,overview,08/10/2020,436
K02000001,United Kingdom,overview,07/10/2020,442
K02000001,United Kingdom,overview,06/10/2020,410
K02000001,United Kingdom,overview,05/10/2020,393
K02000001,United Kingdom,overview,04/10/2020,369
K02000001,United Kingdom,overview,03/10/2020,369
K02000001,United Kingdom,overview,02/10/2020,369
K02000001,United Kingdom,overview,01/10/2020,341
K02000001,United Kingdom,overview,30/09/2020,333
K02000001,United Kingdom,overview,29/09/2020,314
K02000001,United Kingdom,overview,28/09/2020,297
K02000001,United Kingdom,overview,27/09/2020,276
K02000001,United Kingdom,overview,26/09/2020,261
K02000001,United Kingdom,overview,25/09/2020,262
K02000001,United Kingdom,overview,24/09/2020,243
K02000001,United Kingdom,overview,23/09/2020,228
K02000001,United Kingdom,overview,22/09/2020,211
K02000001,United Kingdom,overview,21/09/2020,181
K02000001,United Kingdom,overview,20/09/2020,165
K02000001,United Kingdom,overview,19/09/2020,144
K02000001,United Kingdom,overview,18/09/2020,138
K02000001,United Kingdom,overview,17/09/2020,127
K02000001,United Kingdom,overview,16/09/2020,124
K02000001,United Kingdom,overview,15/09/2020,115
K02000001,United Kingdom,overview,14/09/2020,105
K02000001,United Kingdom,overview,13/09/2020,92
K02000001,United Kingdom,overview,12/09/2020,86
K02000001,United Kingdom,overview,11/09/2020,143
K02000001,United Kingdom,overview,10/09/2020,78
K02000001,United Kingdom,overview,09/09/2020,80
K02000001,United Kingdom,overview,08/09/2020,80
K02000001,United Kingdom,overview,07/09/2020,77
K02000001,United Kingdom,overview,06/09/2020,69
K02000001,United Kingdom,overview,05/09/2020,67
K02000001,United Kingdom,overview,04/09/2020,69
K02000001,United Kingdom,overview,03/09/2020,76
K02000001,United Kingdom,overview,02/09/2020,81
K02000001,United Kingdom,overview,01/09/2020,82
K02000001,United Kingdom,overview,31/08/2020,71
K02000001,United Kingdom,overview,30/08/2020,68
K02000001,United Kingdom,overview,29/08/2020,66
K02000001,United Kingdom,overview,28/08/2020,60
K02000001,United Kingdom,overview,27/08/2020,71
K02000001,United Kingdom,overview,26/08/2020,64
K02000001,United Kingdom,overview,25/08/2020,68
K02000001,United Kingdom,overview,24/08/2020,68
K02000001,United Kingdom,overview,23/08/2020,72
K02000001,United Kingdom,overview,22/08/2020,71
K02000001,United Kingdom,overview,21/08/2020,72
K02000001,United Kingdom,overview,20/08/2020,76
K02000001,United Kingdom,overview,19/08/2020,70
K02000001,United Kingdom,overview,18/08/2020,73
K02000001,United Kingdom,overview,17/08/2020,73
K02000001,United Kingdom,overview,16/08/2020,78
K02000001,United Kingdom,overview,15/08/2020,76
K02000001,United Kingdom,overview,14/08/2020,73
K02000001,United Kingdom,overview,13/08/2020,75
K02000001,United Kingdom,overview,12/08/2020,80
K02000001,United Kingdom,overview,11/08/2020,73
K02000001,United Kingdom,overview,10/08/2020,70
K02000001,United Kingdom,overview,09/08/2020,65
K02000001,United Kingdom,overview,08/08/2020,62
K02000001,United Kingdom,overview,07/08/2020,67
K02000001,United Kingdom,overview,06/08/2020,69
K02000001,United Kingdom,overview,05/08/2020,73
K02000001,United Kingdom,overview,04/08/2020,76
K02000001,United Kingdom,overview,03/08/2020,77
K02000001,United Kingdom,overview,02/08/2020,85
K02000001,United Kingdom,overview,01/08/2020,92
K02000001,United Kingdom,overview,31/07/2020,86
K02000001,United Kingdom,overview,30/07/2020,84
K02000001,United Kingdom,overview,29/07/2020,87
K02000001,United Kingdom,overview,28/07/2020,93
K02000001,United Kingdom,overview,27/07/2020,97
K02000001,United Kingdom,overview,26/07/2020,92
K02000001,United Kingdom,overview,25/07/2020,93
K02000001,United Kingdom,overview,24/07/2020,104
K02000001,United Kingdom,overview,23/07/2020,111
K02000001,United Kingdom,overview,22/07/2020,110
K02000001,United Kingdom,overview,21/07/2020,137
K02000001,United Kingdom,overview,20/07/2020,129
K02000001,United Kingdom,overview,19/07/2020,131
K02000001,United Kingdom,overview,18/07/2020,137
K02000001,United Kingdom,overview,17/07/2020,143
K02000001,United Kingdom,overview,16/07/2020,142
K02000001,United Kingdom,overview,15/07/2020,153
K02000001,United Kingdom,overview,14/07/2020,145
K02000001,United Kingdom,overview,13/07/2020,162
K02000001,United Kingdom,overview,12/07/2020,159
K02000001,United Kingdom,overview,11/07/2020,168
K02000001,United Kingdom,overview,10/07/2020,191
K02000001,United Kingdom,overview,09/07/2020,188
K02000001,United Kingdom,overview,08/07/2020,185
K02000001,United Kingdom,overview,07/07/2020,197
K02000001,United Kingdom,overview,06/07/2020,209
K02000001,United Kingdom,overview,05/07/2020,217
K02000001,United Kingdom,overview,04/07/2020,221
K02000001,United Kingdom,overview,03/07/2020,231
K02000001,United Kingdom,overview,02/07/2020,239
K02000001,United Kingdom,overview,01/07/2020,259
K02000001,United Kingdom,overview,30/06/2020,279
K02000001,United Kingdom,overview,29/06/2020,262
K02000001,United Kingdom,overview,28/06/2020,270
K02000001,United Kingdom,overview,27/06/2020,270
K02000001,United Kingdom,overview,26/06/2020,268
K02000001,United Kingdom,overview,25/06/2020,276
K02000001,United Kingdom,overview,24/06/2020,316
K02000001,United Kingdom,overview,23/06/2020,311
K02000001,United Kingdom,overview,22/06/2020,340
K02000001,United Kingdom,overview,21/06/2020,310
K02000001,United Kingdom,overview,20/06/2020,346
K02000001,United Kingdom,overview,19/06/2020,330
K02000001,United Kingdom,overview,18/06/2020,352
K02000001,United Kingdom,overview,17/06/2020,357
K02000001,United Kingdom,overview,16/06/2020,378
K02000001,United Kingdom,overview,15/06/2020,385
K02000001,United Kingdom,overview,14/06/2020,393
K02000001,United Kingdom,overview,13/06/2020,390
K02000001,United Kingdom,overview,12/06/2020,393
K02000001,United Kingdom,overview,11/06/2020,390
K02000001,United Kingdom,overview,10/06/2020,439
K02000001,United Kingdom,overview,09/06/2020,491
K02000001,United Kingdom,overview,08/06/2020,509
K02000001,United Kingdom,overview,07/06/2020,515
K02000001,United Kingdom,overview,06/06/2020,540
K02000001,United Kingdom,overview,05/06/2020,554
K02000001,United Kingdom,overview,04/06/2020,571
K02000001,United Kingdom,overview,03/06/2020,602
K02000001,United Kingdom,overview,02/06/2020,636
K02000001,United Kingdom,overview,01/06/2020,652
K02000001,United Kingdom,overview,31/05/2020,679
K02000001,United Kingdom,overview,30/05/2020,704
K02000001,United Kingdom,overview,29/05/2020,719
K02000001,United Kingdom,overview,28/05/2020,751
K02000001,United Kingdom,overview,27/05/2020,783
K02000001,United Kingdom,overview,26/05/2020,847
K02000001,United Kingdom,overview,25/05/2020,863
K02000001,United Kingdom,overview,24/05/2020,886
K02000001,United Kingdom,overview,23/05/2020,928
K02000001,United Kingdom,overview,22/05/2020,964
K02000001,United Kingdom,overview,21/05/2020,1008
K02000001,United Kingdom,overview,20/05/2020,1034
K02000001,United Kingdom,overview,19/05/2020,1106
K02000001,United Kingdom,overview,18/05/2020,1141
K02000001,United Kingdom,overview,17/05/2020,1196
K02000001,United Kingdom,overview,16/05/2020,1234
K02000001,United Kingdom,overview,15/05/2020,1337
K02000001,United Kingdom,overview,14/05/2020,1314
K02000001,United Kingdom,overview,13/05/2020,1342
K02000001,United Kingdom,overview,12/05/2020,1414
K02000001,United Kingdom,overview,11/05/2020,1485
K02000001,United Kingdom,overview,10/05/2020,1538
K02000001,United Kingdom,overview,09/05/2020,1585
K02000001,United Kingdom,overview,08/05/2020,1642
K02000001,United Kingdom,overview,07/05/2020,1685
K02000001,United Kingdom,overview,06/05/2020,1802
K02000001,United Kingdom,overview,05/05/2020,1874
K02000001,United Kingdom,overview,04/05/2020,1936
K02000001,United Kingdom,overview,03/05/2020,2009
K02000001,United Kingdom,overview,02/05/2020,2068
K02000001,United Kingdom,overview,01/05/2020,2178
K02000001,United Kingdom,overview,30/04/2020,2224
K02000001,United Kingdom,overview,29/04/2020,2286
K02000001,United Kingdom,overview,28/04/2020,2353
K02000001,United Kingdom,overview,27/04/2020,2460
K02000001,United Kingdom,overview,26/04/2020,2580
K02000001,United Kingdom,overview,25/04/2020,2702
K02000001,United Kingdom,overview,24/04/2020,2703
K02000001,United Kingdom,overview,23/04/2020,2867
K02000001,United Kingdom,overview,22/04/2020,2964
K02000001,United Kingdom,overview,21/04/2020,3036
K02000001,United Kingdom,overview,20/04/2020,3130
K02000001,United Kingdom,overview,19/04/2020,3176
K02000001,United Kingdom,overview,18/04/2020,3247
K02000001,United Kingdom,overview,17/04/2020,3162
K02000001,United Kingdom,overview,16/04/2020,3222
K02000001,United Kingdom,overview,15/04/2020,3228
K02000001,United Kingdom,overview,14/04/2020,3234
K02000001,United Kingdom,overview,13/04/2020,3277
K02000001,United Kingdom,overview,12/04/2020,3301
K02000001,United Kingdom,overview,11/04/2020,3274
K02000001,United Kingdom,overview,10/04/2020,3228
K02000001,United Kingdom,overview,09/04/2020,2963
K02000001,United Kingdom,overview,08/04/2020,2967
K02000001,United Kingdom,overview,07/04/2020,2864
K02000001,United Kingdom,overview,06/04/2020,2644
K02000001,United Kingdom,overview,05/04/2020,2469
K02000001,United Kingdom,overview,04/04/2020,2309
K02000001,United Kingdom,overview,03/04/2020,2120
K02000001,United Kingdom,overview,02/04/2020,1813