Year,Boris_Johnson,Keir_Starmer,Not_Sure,Refused
2021-12-19,22,34,39,5
2021-12-14,23,33,40,4
2021-12-01,27,31,38,4
2021-11-24,27,28,41,3
2021-11-17,28,30,37,5
2021-11-10,27,29,41,3
2021-10-12,31,25,41,3
2021-09-15,31,26,39,5
2021-09-02,32,27,36,5
2021-08-25,32,27,37,4
2021-08-11,30,28,39,3
2021-08-05,31,27,37,5
2021-07-28,33,28,37,3
2021-07-15,37,27,31,5
2021-07-07,33,25,37,5
2021-06-29,33,27,36,4
2021-06-16,36,26,33,5
2021-06-09,35,26,34,5
2021-05-27,37,25,35,3
2021-05-19,40,24,33,4
2021-04-13,34,26,36,4
2021-04-07,35,29,32,4
2021-03-31,35,29,33,3
2021-03-25,37,27,34,2
2021-03-18,35,29,33,3
2021-03-09,34,29,35,3
2021-03-03,36,28,33,2
2021-02-25,35,31,34,3
2021-02-17,34,30,32,4
2021-02-09,33,31,34,2
2021-02-02,33,33,30,4
2021-01-26,29,34,34,4
2021-01-21,31,33,32,4
2021-01-13,29,34,34,3
2021-01-04,30,35,32,3